h	x	x	h	h	x	g	g	g	x	v	v	x	x	x	x	x	v	v	k	x
x	x	k	k	o	o	o	h	h	h	x	x	x	h	h	j	x	x	j	x	j
j	j	x	x	x	i	x	x	x	i	x	x	x	x	x	x	i	i	x	i	h
h	h	x	x	x	h	h	x	x	x	x	d	x	x	d	x	d	x	d	d	g
g	x	x	g	x	x	x	g	g	g	x	x	x	x	g	x	x	g	x	g	g
x	g	x	x	x	x	g	x	g	x	g	g	x	x	x	k	k	k	k	b	x
x	b	x	b	x	b	x	b	b	x	x	x	x	x	x	n	n	n	x	x	n
d	x	x	x	x	x	d	x	d	x	x	d	x	d	f	x	x	x	f	x	x
f	f	x	x	i	i	i	u	u	x	x	u	u	u	o	x	o	o	x	x	x
x	x	x	o	n	n	x	x	n	n	n	m	x	x	m	m	m	x	m	x	x
m	x	x	x	x	x	x	g	g	x	g	g	h	x	h	h	h	x	x	h	x
x	x	x	x	x	j	x	j	j	x	x	x	j	e	x	e	x	e	e	x	x
x	e	e	x	w	w	w	w	w	x	w	q	x	q	x	x	x	q	q	q	x
q	y	x	y	x	x	x	x	y	x	y	y	x	x	u	x	u	u	x	u	u
x	i	i	i	x	i	i	i	o	o	o	o	x	x	o	x	k	x	k	x	k
k	d	x	d	x	x	x	x	x	a	a	a	x	a	x	a	a	x	a	s	s
x	s	x	x	s	x	s	x	s	s	x	x	s	x	h	x	h	h	x	h	x
h	x	x	x	h	x	j	x	x	x	x	x	x	j	x	j	j	x	x	j	x
x	x	x	x	j	k	k	k	k	k	k	l	x	l	l	x	l	l	l	l	f
f	f	f	f	f	f	x	t	t	t	t	x	t	x	t	x	x	x	x	x	t
y	y	x	y	x	y	y	x	x	u	x	u	x	x	u	x	u	x	i	i	i
